"Subject","Start Date","Start Time","End Date","End Time","All day event","Reminder on/off","Reminder Date","Reminder Time","Meeting Organizer","Required Attendees","Optional Attendees","Meeting Resources","Billing Information","Categories","Description","Location","Mileage","Priority","Private","Sensitivity","Show time as"
"Kids Skype","18/6/2018","6:00:00 AM","18/6/2018","7:00:00 AM","False","False","17/6/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","21/6/2018","6:00:00 AM","21/6/2018","7:00:00 AM","False","False","20/6/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","25/6/2018","6:00:00 AM","25/6/2018","7:00:00 AM","False","False","24/6/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","28/6/2018","6:00:00 AM","28/6/2018","7:00:00 AM","False","False","27/6/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","2/7/2018","6:00:00 AM","2/7/2018","7:00:00 AM","False","False","1/7/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","5/7/2018","6:00:00 AM","5/7/2018","7:00:00 AM","False","False","4/7/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","9/7/2018","6:00:00 AM","9/7/2018","7:00:00 AM","False","False","8/7/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","12/7/2018","6:00:00 AM","12/7/2018","7:00:00 AM","False","False","11/7/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","16/7/2018","6:00:00 AM","16/7/2018","7:00:00 AM","False","False","15/7/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","19/7/2018","6:00:00 AM","19/7/2018","7:00:00 AM","False","False","18/7/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","23/7/2018","6:00:00 AM","23/7/2018","7:00:00 AM","False","False","22/7/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","26/7/2018","6:00:00 AM","26/7/2018","7:00:00 AM","False","False","25/7/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","30/7/2018","6:00:00 AM","30/7/2018","7:00:00 AM","False","False","29/7/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","2/8/2018","6:00:00 AM","2/8/2018","7:00:00 AM","False","False","1/8/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","6/8/2018","6:00:00 AM","6/8/2018","7:00:00 AM","False","False","5/8/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","9/8/2018","6:00:00 AM","9/8/2018","7:00:00 AM","False","False","8/8/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","13/8/2018","6:00:00 AM","13/8/2018","7:00:00 AM","False","False","12/8/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","16/8/2018","6:00:00 AM","16/8/2018","7:00:00 AM","False","False","15/8/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","20/8/2018","6:00:00 AM","20/8/2018","7:00:00 AM","False","False","19/8/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","23/8/2018","6:00:00 AM","23/8/2018","7:00:00 AM","False","False","22/8/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","27/8/2018","6:00:00 AM","27/8/2018","7:00:00 AM","False","False","26/8/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","30/8/2018","6:00:00 AM","30/8/2018","7:00:00 AM","False","False","29/8/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","3/9/2018","6:00:00 AM","3/9/2018","7:00:00 AM","False","False","2/9/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","6/9/2018","6:00:00 AM","6/9/2018","7:00:00 AM","False","False","5/9/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","10/9/2018","6:00:00 AM","10/9/2018","7:00:00 AM","False","False","9/9/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","13/9/2018","6:00:00 AM","13/9/2018","7:00:00 AM","False","False","12/9/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","17/9/2018","6:00:00 AM","17/9/2018","7:00:00 AM","False","False","16/9/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","20/9/2018","6:00:00 AM","20/9/2018","7:00:00 AM","False","False","19/9/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","24/9/2018","6:00:00 AM","24/9/2018","7:00:00 AM","False","False","23/9/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","27/9/2018","6:00:00 AM","27/9/2018","7:00:00 AM","False","False","26/9/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","1/10/2018","6:00:00 AM","1/10/2018","7:00:00 AM","False","False","30/9/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","4/10/2018","6:00:00 AM","4/10/2018","7:00:00 AM","False","False","3/10/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","8/10/2018","6:00:00 AM","8/10/2018","7:00:00 AM","False","False","7/10/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","11/10/2018","6:00:00 AM","11/10/2018","7:00:00 AM","False","False","10/10/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","15/10/2018","6:00:00 AM","15/10/2018","7:00:00 AM","False","False","14/10/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","18/10/2018","6:00:00 AM","18/10/2018","7:00:00 AM","False","False","17/10/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","22/10/2018","6:00:00 AM","22/10/2018","7:00:00 AM","False","False","21/10/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","25/10/2018","6:00:00 AM","25/10/2018","7:00:00 AM","False","False","24/10/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","29/10/2018","6:00:00 AM","29/10/2018","7:00:00 AM","False","False","28/10/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","1/11/2018","6:00:00 AM","1/11/2018","7:00:00 AM","False","False","31/10/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","5/11/2018","6:00:00 AM","5/11/2018","7:00:00 AM","False","False","4/11/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","8/11/2018","6:00:00 AM","8/11/2018","7:00:00 AM","False","False","7/11/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","12/11/2018","6:00:00 AM","12/11/2018","7:00:00 AM","False","False","11/11/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","15/11/2018","6:00:00 AM","15/11/2018","7:00:00 AM","False","False","14/11/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","19/11/2018","6:00:00 AM","19/11/2018","7:00:00 AM","False","False","18/11/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","22/11/2018","6:00:00 AM","22/11/2018","7:00:00 AM","False","False","21/11/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","26/11/2018","6:00:00 AM","26/11/2018","7:00:00 AM","False","False","25/11/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","29/11/2018","6:00:00 AM","29/11/2018","7:00:00 AM","False","False","28/11/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","3/12/2018","6:00:00 AM","3/12/2018","7:00:00 AM","False","False","2/12/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","6/12/2018","6:00:00 AM","6/12/2018","7:00:00 AM","False","False","5/12/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
"Kids Skype","10/12/2018","6:00:00 AM","10/12/2018","7:00:00 AM","False","False","9/12/2018","12:00:00 PM",,,,,,,"

","Internet",,"Normal","False","Normal","2"
